index   score   id
245	4.000	CSNK1G2
246	4.000	CTNNA1
247	4.000	CYP1B1
248	4.000	DDB2
249	4.000	DGKI
250	4.000	ELOVL2
251	4.000	EP400
252	4.000	EPHA8
253	4.000	EPHB2
254	4.000	ERG
255	4.000	EXT2
256	4.000	FANCC
257	4.000	FANCG
258	4.000	FRAP1
259	4.000	GATA1
260	4.000	GMPS
261	4.000	GPC3
262	4.000	HDAC4
263	4.000	HIPK2
264	4.000	HMGA1
265	4.000	HOXD11
266	4.000	IDH1
267	4.000	IGF1R
268	4.000	IGFBP3
269	4.000	KALRN
270	4.000	KAT2B
271	4.000	LAMA1
272	4.000	LAMP1
273	4.000	LDHA
274	4.000	LTBP1
275	4.000	MAPK3
276	4.000	MAPK8IP2
277	4.000	MINPP1
278	4.000	MLL
279	4.000	MLL3
280	4.000	MST1R
281	4.000	MUC1
282	4.000	MYST4
283	4.000	NAV3
284	4.000	NOTCH2
285	4.000	NSD1
286	4.000	PAFAH1B2
287	4.000	PAK7
288	4.000	PARP2
289	4.000	PIGS
290	4.000	POLE
291	4.000	PPP1R13L
292	4.000	PPP2CB
293	4.000	PPP2R2B
294	4.000	PTCH2
295	4.000	PTK2
296	4.000	PTPRD
297	4.000	RAD51L1
298	4.000	RHEB
299	4.000	RHOA
300	4.000	RPS6KA1
301	4.000	RPS6KB1
302	4.000	RUNX1T1
303	4.000	SDHC
304	4.000	SDHD
305	4.000	SNCG
306	4.000	SOCS2
307	4.000	SPEN
308	4.000	TFE3
309	4.000	TGFBR1
310	4.000	TLX1
311	4.000	TNK2
312	4.000	ZNF331
313	3.750	ADM
314	3.750	APEX1
315	3.750	AXL
316	3.750	BIRC3
317	3.750	BMP4
318	3.750	BMPR1A
319	3.750	CDC25A
320	3.750	CHN1
321	3.750	DDIT3
322	3.750	DGKG
323	3.750	ENPP2
324	3.750	EPHA2
325	3.750	ETS2
326	3.750	FHIT
327	3.750	FURIN
328	3.750	GSTT1
329	3.750	HDAC3
330	3.750	ICAM1
331	3.750	IL2
332	3.750	IL2RA
333	3.750	ITGB3
334	3.750	JAK3
335	3.750	MAP3K1
336	3.750	MAPK9
337	3.750	MYCN
338	3.750	NUP214
339	3.750	PGR
340	3.750	PPARA
341	3.750	PRKCG
342	3.750	PTPRC
343	3.750	PTPRF
344	3.750	RAF1
345	3.750	SMO
346	3.750	SUFU
347	3.750	TAL1
348	3.750	TGFB3
349	3.750	TK1
350	3.750	VDR
351	3.500	ABCG2
352	3.500	ACSL6
353	3.500	ADA
354	3.500	ADCY1
355	3.500	AK5
356	3.500	AKAP6
357	3.500	ARNT
358	3.500	BCAR1
359	3.500	BCL2L1
360	3.500	CACNA1F
