index   score   id
243	1.750	HEXB
244	1.750	KLRK1
245	1.750	MBP
246	1.750	MVP
247	1.750	MYT1
248	1.750	NOD2
249	1.750	NTSR2
250	1.750	PDE10A
251	1.750	PLAUR
252	1.750	PPA1
253	1.750	SERPINA1
254	1.750	SRF
255	1.750	ST14
256	1.750	STMN1
257	1.750	VAV3
258	1.500	ABAT
259	1.500	ACSL1
260	1.500	ACSL3
261	1.500	ACSL4
262	1.500	ACYP2
263	1.500	AGXT2L1
264	1.500	ALDH3B1
265	1.500	ALOX5
266	1.500	AMPD3
267	1.500	ANXA2
268	1.500	AP3D1
269	1.500	ARPC1B
270	1.500	ARRB1
271	1.500	ATP5F1
272	1.500	ATP5L
273	1.500	B3GALT1
274	1.500	BASP1
275	1.500	BLVRB
276	1.500	BNC2
277	1.500	BTBD2
278	1.500	C19orf22
279	1.500	C19orf6
280	1.500	C19orf66
281	1.500	C1orf38
282	1.500	CA4
283	1.500	CALM2
284	1.500	CAST
285	1.500	CD3EAP
286	1.500	CDR1
287	1.500	CEBPB
288	1.500	CHST3
289	1.500	CLASP2
290	1.500	COL4A2
291	1.500	COX5B
292	1.500	CPNE6
293	1.500	CRYL1
294	1.500	CRYM
295	1.500	CSGLCA-T
296	1.500	CTSA
297	1.500	DBN1
298	1.500	DENND2A
299	1.500	DOCK6
300	1.500	DSE
301	1.500	DYNC1I1
302	1.500	ELAVL1
303	1.500	EXTL3
304	1.500	FBXO21
305	1.500	FBXO3
306	1.500	FERMT1
307	1.500	FMNL1
308	1.500	FXYD1
309	1.500	GALNT4
310	1.500	GATAD2A
311	1.500	GNA11
312	1.500	GNA15
313	1.500	GNG7
314	1.500	GNL2
315	1.500	GSTA4
316	1.500	GSTK1
317	1.500	HEXA
318	1.500	HK3
319	1.500	HMG20B
320	1.500	HPCAL4
321	1.500	HPRT1
322	1.500	HS3ST3B1
323	1.500	ICK
324	1.500	ILF3
325	1.500	ITGA4
326	1.500	KCNF1
327	1.500	KCNK1
328	1.500	KDM5A
329	1.500	KIAA0892
330	1.500	KLHDC8A
331	1.500	KYNU
332	1.500	LAMC1
333	1.500	LRRFIP1
334	1.500	MAB21L1
335	1.500	MAGEH1
336	1.500	MAN2B1
337	1.500	MAPT
338	1.500	MARCKS
339	1.500	MAT2B
340	1.500	MGAT1
341	1.500	MGST2
342	1.500	MGST3
343	1.500	MIER2
344	1.500	MLC1
345	1.500	MYO5C
346	1.500	NDUFS3
347	1.500	NFATC3
348	1.500	NPC2
349	1.500	NR2F6
350	1.500	NRXN2
351	1.500	NSL1
352	1.500	P4HA2
353	1.500	P4HB
354	1.500	PCDH11X
355	1.500	PDE6D
356	1.500	PIGP
357	1.500	PIPOX
358	1.500	PLA2G15
359	1.500	PLOD3
360	1.500	POMT2
361	1.500	PPM1G
362	1.500	PPP2R5A
363	1.500	PRPF31
364	1.500	PTPN14
365	1.500	PTPN22
366	1.500	PYGL
367	1.500	QTRT1
368	1.500	RAB27A
369	1.500	RBCK1
370	1.500	RBKS
371	1.500	RBM10
372	1.500	RBM42
373	1.500	RELB
374	1.500	REPS2
375	1.500	RFX2
376	1.500	RFXANK
377	1.500	RIN1
378	1.500	RND1
379	1.500	RRAS
380	1.500	SAR1A
381	1.500	SARS2
382	1.500	SCAMP4
383	1.500	SEC61A2
384	1.500	SERPINI1
385	1.500	SGK3
386	1.500	SH3GL3
387	1.500	SIPA1L1
388	1.500	SLC31A2
389	1.500	SOX4
390	1.500	SPPL2B
391	1.500	STAB1
392	1.500	STK10
393	1.500	STMN4
394	1.500	STXBP2
395	1.500	TAF5
396	1.500	TARS
397	1.500	TCIRG1
398	1.500	TGIF2
399	1.500	THTPA
400	1.500	TLE2
401	1.500	TMED1
402	1.500	TMEM147
403	1.500	TMEM161A
404	1.500	TNFAIP3
405	1.500	TRADD
406	1.500	UPF1
407	1.500	UROS
408	1.500	USP33
409	1.500	VSX1
410	1.500	YAP1
411	1.500	ZEB2
412	1.500	ZFP112
413	1.500	ZNF134
414	1.500	ZNF211
415	1.500	ZNF227
416	1.500	ZNF235
417	1.500	ZNF264
418	1.500	ZNF304
419	1.500	ZNF419
420	1.500	ZNF446
421	1.500	ZNF45
422	1.500	ZNF606
423	1.500	ZNF671
424	1.500	ZNF8
425	1.250	BCAN
426	1.250	DPP6
427	1.250	EPB41L3
428	1.250	KLRC3
429	1.250	MCM10
430	1.250	NES
431	1.250	PLCL1
432	1.250	RP11-35N6.1
433	1.250	S100A11
434	1.250	SEZ6L
435	1.250	TOX3
436	1.000	ACSS3
437	1.000	AMOTL2
438	1.000	ANXA3
439	1.000	ANXA7
440	1.000	ARAP3
441	1.000	ARSJ
442	1.000	ATP1A3
443	1.000	BEX1
444	1.000	C5AR1
445	1.000	CD4
446	1.000	CHD7
447	1.000	CLEC2B
448	1.000	COL5A1
449	1.000	CXXC4
450	1.000	DCBLD2
451	1.000	DHRS9
452	1.000	EFEMP2
453	1.000	EVI2A
454	1.000	FEZF2
455	1.000	FHOD3
456	1.000	FNDC3B
457	1.000	FOLR2
458	1.000	FPR3
459	1.000	GNG4
460	1.000	GPM6A
461	1.000	HPCA
462	1.000	IFI30
463	1.000	IRF3
464	1.000	ITGA7
465	1.000	JAG1
466	1.000	KPNB1
467	1.000	LAMB1
468	1.000	LRRC16A
469	1.000	LRRTM4
470	1.000	LY75
471	1.000	LY96
472	1.000	MAN1A1
473	1.000	MORF4L2
474	1.000	MPPED2
475	1.000	MS4A4A
476	1.000	MTSS1
477	1.000	MYBPC1
478	1.000	NCF2
479	1.000	NOL4
480	1.000	NRXN1
481	1.000	NUP188
482	1.000	PCDH11Y
483	1.000	PCSK5
484	1.000	PGBD5
485	1.000	PTRF
486	1.000	REEP1
487	1.000	ROGDI
488	1.000	S100A13
489	1.000	SATB1
490	1.000	SCG3
491	1.000	SCN3A
492	1.000	SEC61A1
493	1.000	SEPP1
494	1.000	SLC4A4
495	1.000	SLCO1A2
496	1.000	SNTA1
497	1.000	SORCS3
498	1.000	SOX2
499	1.000	SRPX2
500	1.000	TCEAL2
501	1.000	TMEFF1
502	1.000	TMEM144
503	1.000	TMEM35
504	1.000	TMSB15A
505	1.000	TNRC4
506	1.000	TRIB2
507	1.000	WSCD1
508	.750	ACTN4
509	.750	ASCL1
510	.750	BDKRB2
511	.750	CD151
512	.750	CDCP1
513	.750	CDH6
514	.750	CLIC1
515	.750	CRMP1
516	.750	DSC2
517	.750	EMP3
518	.750	FXYD5
519	.750	GADD45G
520	.750	HMGB3
521	.750	HOXD3
522	.750	HSPBP1
523	.750	ITGB8
524	.750	KCNJ3
525	.750	MSR1
526	.750	MYO1E
527	.750	PEPD
528	.750	PMP22
529	.750	RAB32
530	.750	S100A4
531	.750	SLC1A1
532	.750	SOX10
533	.750	SOX9
534	.750	UCP2
535	.500	ACTR1A
536	.500	ADD3
537	.500	AFAP1
538	.500	AGTPBP1
539	.500	AKAP8L
540	.500	AKR7A3
541	.500	ANKRD11
542	.500	ANKRD46
543	.500	ANKS1B
544	.500	ANXA4
545	.500	ANXA5
546	.500	APBA3
547	.500	ARAP2
548	.500	ARHGEF18
549	.500	ARHGEF9
550	.500	ARNTL
551	.500	ATAD5
552	.500	BAT2D1
553	.500	BATF
554	.500	BCOR
555	.500	BEST1
556	.500	BICD2
557	.500	BMS1
558	.500	BOP1
559	.500	BPTF
560	.500	BRPF1
561	.500	C19orf28
562	.500	C19orf29
563	.500	C1orf106
564	.500	C1orf54
565	.500	C1orf61
566	.500	C6orf134
567	.500	CAMSAP1L1
568	.500	CASP5
569	.500	CASQ1
570	.500	CBX1
571	.500	CC2D1A
572	.500	CCDC109B
573	.500	CCDC121
574	.500	CD14
575	.500	CD2AP
576	.500	CD97
577	.500	CDV3
578	.500	CHD4
579	.500	CHERP
580	.500	CIZ1
581	.500	CKAP4
582	.500	CLCA4
583	.500	CLCF1
584	.500	CLIP2
585	.500	CNN2
586	.500	COL8A2
587	.500	COPZ2
588	.500	CRB1
589	.500	CRBN
590	.500	CREB5
591	.500	CRYZL1
592	.500	CSPG5
593	.500	CTSC
594	.500	CTSZ
595	.500	CUTC
596	.500	CYBRD1
597	.500	CYTH1
598	.500	CYTH4
599	.500	CYTIP
600	.500	DAG1
601	.500	DCP1A
602	.500	DDX42
603	.500	DIAPH1
604	.500	DMWD
605	.500	DNAJC13
606	.500	DOK3
607	.500	DPF1
608	.500	DPP3
609	.500	DRAM
610	.500	EEF2
611	.500	EHD2
612	.500	EPB41
613	.500	FAM110B
614	.500	FAM125B
615	.500	FAM38A
616	.500	FAM46A
617	.500	FAM49B
618	.500	FBXO17
619	.500	FCGR2A
620	.500	FHOD1
621	.500	FLRT1
622	.500	FXYD6
623	.500	FZR1
624	.500	GABARAPL2
625	.500	GABRA3
626	.500	GABRB2
627	.500	GCN1L1
628	.500	GLT25D1
629	.500	GNL1
630	.500	GOLGA2
631	.500	GOLGA3
632	.500	GPR161
633	.500	GPR172A
634	.500	GPR22
635	.500	GPR56
636	.500	GRID2
637	.500	GRIK5
638	.500	GTF2F1
639	.500	HCFC1
640	.500	HELZ
641	.500	HFE
642	.500	HN1
643	.500	HNRNPA3
644	.500	HNRNPAB
645	.500	HNRNPH3
646	.500	HNRNPM
647	.500	HNRNPUL2
648	.500	IL15RA
649	.500	IL4R
650	.500	ITGAM
651	.500	KDM2A
652	.500	KHSRP
653	.500	KIAA0020
654	.500	KIAA0355
655	.500	KIF21B
656	.500	KIRREL
657	.500	KLHL25
658	.500	KLRC4
659	.500	LAIR1
660	.500	LAMB2
661	.500	LAPTM5
662	.500	LARP1
663	.500	LCP2
664	.500	LEPREL2
665	.500	LHFPL2
666	.500	LILRB2
667	.500	LILRB3
668	.500	LMAN1
669	.500	LOC201229
670	.500	LOC81691
671	.500	LPAR4
672	.500	LRFN3
673	.500	LRP10
674	.500	LTBP2
675	.500	LYRM1
676	.500	M6PRBP1
677	.500	MAN2A1
678	.500	MARCKSL1
679	.500	MATR3
680	.500	MBTPS1
681	.500	MC1R
682	.500	MCC
683	.500	MED12
684	.500	MEGF8
685	.500	MEIS1
686	.500	MFSD1
687	.500	MGC2752
688	.500	MGC72080
689	.500	MLEC
690	.500	MLXIP
691	.500	MMD
692	.500	MMP16
693	.500	MORC2
694	.500	MRC2
695	.500	MRPL49
696	.500	MSL2
697	.500	MSRB2
